movie,directors,stars,year,runtime,genres
The Jungle Captive,Harold Young,"Otto Kruger, Vicky Lane, Amelita Ward, Phil Brown",1945,63 min,"Horror, Sci-Fi"
Silk,,,,,"Action, Adventure, Sci-Fi"
Variant,Tony Leech,"Ashlynn Yennie, Dino Antoniou, Sonalii Castillo, Josh Zuckerman",2018,91 min,"Sci-Fi, Thriller"
The Bamboo Saucer,Frank Telford,"Dan Duryea, John Ericson, Lois Nettleton, Bob Hastings",1968,103 min,Sci-Fi
The Source,Steve Taylor,"Mathew Scollon, Melissa Reneé Martin, Edward DeRuiter, Alice Frank",2002,100 min,"Thriller, Sci-Fi"
Robotropolis,Christopher Hatton,"Zoe Naylor, Graham Sibley, Edward Foy, Lani John Tupu",2011,85 min,"Action, Adventure, Sci-Fi"
Dominator,Tony Luke,"Seera Backhouse, Doug Bradley, Alex Cox, Dani Filth",2003,75 min,"Animation, Comedy, Sci-Fi"
Window to Paris,Yuri Mamin,"Sergey Dreyden, Agnès Soral, Viktor Mikhailov, Nina Usatova",1993,87 min,"Comedy, Drama, Fantasy"
Tora Tora,Harsh Gowda,"Manju Heddur, Saniha Yadav, Pooja Raju, Priyanka Arora",2017,118 min,"Comedy, Family, Sci-Fi"
The Man Who Turned to Stone,László Kardos,"Victor Jory, William Hudson, Charlotte Austin, Jean Willes",1957,71 min,"Horror, Sci-Fi"
Princess from the Moon,Kon Ichikawa,"Toshirô Mifune, Ayako Wakao, Yasuko Sawaguchi, Kôji Ishizaka",1987,121 min,"Adventure, Drama, Fantasy"
The Panopticon,Tarsem Singh,,,,"Action, Sci-Fi, Thriller"
Magnetic,"Sophia Cacciola, Michael J. Epstein","Allix Mortis, Chris Bernardi, Rachel Leah Blumenthal, Sophia Cacciola",2015,80 min,"Adventure, Fantasy, Sci-Fi"
The War in Space,Jun Fukuda,"Kensaku Morita, Yûko Asano, Ryô Ikebe, Masaya Oki",1977,85 min,"Action, Adventure, Sci-Fi"
Heaven's Lost Property the Movie: The Angeloid of Clockwork,Tetsuya Yanagisawa,"Greg Ayres, Tia Lynn Ballard, Shelley Calene-Black, Colleen Clinkenbeard",2011,97 min,"Animation, Action, Comedy"
The Secret of Steel City,Ludvík Ráza,"Jaromír Hanzlík, Martin Ruzek, Josef Vinklár, Jan Potmesil",1979,85 min,"Adventure, Sci-Fi"
Hashtag,Ben Alpi,"Juliet Landau, Gigi Edgley, James A. Janisse, Leo Camacho",2016,,"Drama, Sci-Fi"
First Born,Chris R. Notarile,"Chase Coleman, Roberto Lombardi, Lindsey Bean, Rick Zahn",,,"Drama, Horror, Sci-Fi"
New Crime City,Jonathan Winfrey,"Rick Rossovich, Sherrie Rose, Stacy Keach, Rick Dean",1994,86 min,"Action, Sci-Fi"
Spaceship Terror,Harry Tchinski,"Kristen Springer, Jay Wesley Cochran, Lacey Blair, Stephen Lestat",2011,93 min,"Horror, Sci-Fi, Thriller"
Emergence,Roland Emmerich,,,,Sci-Fi
Grizzly Mountain,Jeremy Haft,"Dan Haggerty, Dylan Haggerty, Nicole Lund, Kim Morgan Greene",1996,96 min,"Adventure, Family, Fantasy"
